,sim_ede,base_ede,sim_mean,base_mean,dest_type,population_group,state,hazard
0,5573.431050046675,1360.451963358963,5216.07373880305,1118.5637814808822,medical_clinic,asian,ch,multi
1,5269.800587577146,1355.9580492542636,4987.3292028983615,1103.5941918783367,primary_school,asian,ch,multi
2,7160.267478633846,2007.6012600302424,6811.975145294461,1568.0022110769562,supermarket,asian,ch,multi
3,7118.549786975626,1911.7556287234481,6693.015651636789,1583.3018938801063,medical_clinic,indigenous,ch,multi
4,6389.82495468632,1803.6331546007987,5970.632326776564,1473.5727578650806,primary_school,indigenous,ch,multi
5,8755.056083769969,2792.239692512923,8319.29576617092,2245.573978713414,supermarket,indigenous,ch,multi
6,6246.841637911847,1412.1681791290791,5893.1744276814525,1160.1262761955938,medical_clinic,latino,ch,multi
7,5582.880366966402,1369.9983360153421,5297.717748677156,1113.6827512090274,primary_school,latino,ch,multi
8,7949.730309168296,2292.799088720964,7573.118964867026,1673.1903815153144,supermarket,latino,ch,multi
9,6636.675669258544,1612.1328102787372,6283.220496870261,1327.6140757607118,medical_clinic,polynesian,ch,multi
10,5860.4572696970245,1470.5502666814102,5533.988712112954,1181.3556613537571,primary_school,polynesian,ch,multi
11,8315.6970147261,2452.3944219853297,7964.923401351345,1924.1669219623266,supermarket,polynesian,ch,multi
12,7042.659424059236,1909.6386297455767,6589.077193869186,1585.4902988670094,medical_clinic,total_pop,ch,multi
13,6203.69887447201,1796.5894666634524,5784.390189771475,1473.1479212967997,primary_school,total_pop,ch,multi
14,8696.855912290841,2786.377138754618,8216.70655663915,2233.8729698646316,supermarket,total_pop,ch,multi
15,7316.335497363455,2019.6107788628888,6854.3624401199095,1684.1879971063038,medical_clinic,white,ch,multi
16,6370.325301119144,1887.9797093427685,5933.219314390632,1554.5346787699807,primary_school,white,ch,multi
17,8980.96724050447,2939.5650610944613,8484.44036051223,2371.8387735484444,supermarket,white,ch,multi
18,2562.7642158793205,1360.451963358963,2318.2135000095404,1118.5637814808822,medical_clinic,asian,ch,liquefaction
19,2426.349311467383,1355.9580492542636,2223.567974231405,1103.5941918783367,primary_school,asian,ch,liquefaction
20,3869.064443385523,2007.6012600302424,3524.4157144138535,1568.0022110769562,supermarket,asian,ch,liquefaction
21,3672.5402542959328,1911.7556287234481,3367.9614101997345,1583.3018938801063,medical_clinic,indigenous,ch,liquefaction
22,3209.3952728850736,1803.6331546007987,2884.339242730124,1473.5727578650806,primary_school,indigenous,ch,liquefaction
23,5526.321136187035,2792.239692512923,5074.9545586550075,2245.573978713414,supermarket,indigenous,ch,liquefaction
24,2938.2997195843664,1412.1681791290791,2686.4353166145725,1160.1262761955938,medical_clinic,latino,ch,liquefaction
25,2596.977430056594,1369.9983360153421,2391.378066611722,1113.6827512090274,primary_school,latino,ch,liquefaction
26,4567.692507994923,2292.799088720964,4162.142075652633,1673.1903815153144,supermarket,latino,ch,liquefaction
27,3449.264976268144,1612.1328102787372,3180.1590065442942,1327.6140757607118,medical_clinic,polynesian,ch,liquefaction
28,2837.5637334367184,1470.5502666814102,2586.5960742461384,1181.3556613537571,primary_school,polynesian,ch,liquefaction
29,5292.770086667472,2452.3944219853297,4908.496549595549,1924.1669219623266,supermarket,polynesian,ch,liquefaction
30,3585.3968982398146,1909.6386297455767,3271.910950821859,1585.4902988670094,medical_clinic,total_pop,ch,liquefaction
31,3082.671120323589,1796.5894666634524,2761.524326506119,1473.1479212967997,primary_school,total_pop,ch,liquefaction
32,5416.973343190372,2786.377138754618,4929.713792557335,2233.8729698646316,supermarket,total_pop,ch,liquefaction
33,3770.0563127986497,2019.6107788628888,3453.0864568331535,1684.1879971063038,medical_clinic,white,ch,liquefaction
34,3197.3175138396628,1887.9797093427685,2863.315315316996,1554.5346787699807,primary_school,white,ch,liquefaction
35,5688.271574603311,2939.5650610944613,5189.8140542016245,2371.8387735484444,supermarket,white,ch,liquefaction
36,1415.1478916757394,1360.451963358963,1174.3563455886308,1118.5637814808822,medical_clinic,asian,ch,tsunami
37,1415.8314160320822,1355.9580492542636,1173.0459755526385,1103.5941918783367,primary_school,asian,ch,tsunami
38,2050.678005432759,2007.6012600302424,1647.5810535867115,1568.0022110769562,supermarket,asian,ch,tsunami
39,2137.2185782129586,1911.7556287234481,1800.0809244171132,1583.3018938801063,medical_clinic,indigenous,ch,tsunami
40,2188.367034977331,1803.6331546007987,1850.542793902554,1473.5727578650806,primary_school,indigenous,ch,tsunami
41,3109.99888998137,2792.239692512923,2561.451435940919,2245.573978713414,supermarket,indigenous,ch,tsunami
