city,ethnic,abbrev
christchurch,all,All
christchurch,white,White
christchurch,asian,Asian
christchurch,maori,Maori
christchurch,polynesian,Polynesian
christchurch,meela,MEELA
seattle,all,All
seattle,african_american,African aAerican
seattle,american_indian,American Indian
seattle,asian,Asian
seattle,native_hawaiian,Native Hawaiian
seattle,white,White
seattle,latino,Latino
houston,all,All
houston,african_american,African American
houston,american_indian,American Indian
houston,asian,Asian
houston,native_hawaiian,Native Hawaiian
houston,white,White
houston,latino,Latino
