lat,lon,id,dest_type,name,hazard,operational
29.72221478,-95.4423051,0,medical_clinic,AFC Urgent Care Houston,hurricane,TRUE
29.71211951,-95.31237101,1,medical_clinic,Accident Injury Rehab Clinic,hurricane,FALSE
30.05490254,-95.18707433,2,medical_clinic,Action Chiropractic,hurricane,FALSE
29.7869157,-95.53070255,3,medical_clinic,Ageless Men's Health,hurricane,FALSE
29.81371589,-95.40970088,4,medical_clinic,AnyLabTestNow,hurricane,FALSE
29.54044564,-95.12796667,5,medical_clinic,Bay Area Surgicare Center,hurricane,FALSE
29.69868052,-95.39436903,6,medical_clinic,Baylor College of Medicine Medical Center,hurricane,FALSE
29.73325851,-95.41842659,7,medical_clinic,Baylor Family Practice,hurricane,FALSE
29.70527972,-95.42066229,8,medical_clinic,Baylor Saint Luke’s Emergency Center–Holcombe,hurricane,FALSE
29.8023383,-95.43211178,9,medical_clinic,Bayou City Healthcare,hurricane,FALSE
29.74469139,-94.9766751,10,medical_clinic,Baytown Health Center,hurricane,FALSE
29.96612527,-95.54075544,11,medical_clinic,Bellissima Women's Clinic,hurricane,FALSE
30.11975863,-95.37914858,12,medical_clinic,Bender's Landing Urgent Care,hurricane,FALSE
29.67613882,-95.42686199,13,medical_clinic,Brae Valley Surgical Center,hurricane,FALSE
29.78595843,-95.68678621,14,medical_clinic,Clear Dermatology,hurricane,FALSE
30.10263853,-95.23528852,15,medical_clinic,Clinica Hispana,hurricane,FALSE
29.84482209,-95.38480299,16,medical_clinic,Clinica Hispana,hurricane,FALSE
29.83716651,-95.37651012,17,medical_clinic,Clinica Hispana Berry,hurricane,FALSE
29.70458391,-95.3590052,18,medical_clinic,Clutch City Dialysis,hurricane,FALSE
29.89562889,-95.68303521,19,medical_clinic,Cy-Fair Medical Partners,hurricane,FALSE
29.92589208,-95.58811783,20,medical_clinic,Cy-Fair Surgery Center,hurricane,FALSE
29.83876635,-95.37627532,21,medical_clinic,DaVita Dialysis,hurricane,FALSE
