,Unnamed: 0,city,hazard,service,ethnicity,distance,pop_perc_cum,pop_perc
0,0,christchurch,base,supermarket,all,0.0592,10.93514446,10.93514446
1,1,christchurch,base,supermarket,all,0.684302,39.23814556,28.3030011
2,2,christchurch,base,supermarket,all,1.309404,66.01106569,26.77292013
3,3,christchurch,base,supermarket,all,1.934506,80.26125608,14.25019039
4,4,christchurch,base,supermarket,all,2.559608,87.80053774,7.539281662
5,5,christchurch,base,supermarket,all,3.18471,90.84515798,3.044620238
6,6,christchurch,base,supermarket,all,3.809812,91.86547099,1.02031301
7,7,christchurch,base,supermarket,all,4.434914,92.67363971,0.808168721
8,8,christchurch,base,supermarket,all,5.060016,93.77243834,1.098798626
9,9,christchurch,base,supermarket,all,5.685118,94.18273938,0.410301043
10,10,christchurch,base,supermarket,all,6.31022,94.67618855,0.493449171
11,11,christchurch,base,supermarket,all,6.935322,95.25045459,0.574266043
12,12,christchurch,base,supermarket,all,7.560424,95.39965497,0.149200379
13,13,christchurch,base,supermarket,all,8.185526,95.70116407,0.3015091
14,14,christchurch,base,supermarket,all,8.810628,96.34536779,0.644203721
15,15,christchurch,base,supermarket,all,9.43573,97.0960322,0.750664408
16,16,christchurch,base,supermarket,all,10.060832,97.74645261,0.650420403
17,17,christchurch,base,supermarket,all,10.685934,97.95471147,0.208258863
18,18,christchurch,base,supermarket,all,11.311036,98.14820571,0.193494242
19,19,christchurch,base,supermarket,all,11.936138,98.47846697,0.330261256
20,20,christchurch,base,supermarket,all,12.56124,98.78463858,0.306171612
21,21,christchurch,base,supermarket,all,13.186342,98.91285765,0.128219076
22,22,christchurch,base,supermarket,all,13.811444,98.99755995,0.084702299
23,23,christchurch,base,supermarket,all,14.436546,99.25322102,0.255661066
50,50,christchurch,base,supermarket,white,0.0592,9.935684627,9.935684627
51,51,christchurch,base,supermarket,white,0.684302,37.11462803,27.1789434
52,52,christchurch,base,supermarket,white,1.309404,63.614742,26.50011396
53,53,christchurch,base,supermarket,white,1.934506,78.34484536,14.73010336
54,54,christchurch,base,supermarket,white,2.559608,86.28962729,7.944781932
55,55,christchurch,base,supermarket,white,3.18471,89.50539595,3.215768663
56,56,christchurch,base,supermarket,white,3.809812,90.62125281,1.115856861
57,57,christchurch,base,supermarket,white,4.434914,91.574587,0.953334192
58,58,christchurch,base,supermarket,white,5.060016,92.81035388,1.235766879
