,id_orig,base_supermarket,base_medical_clinic,base_primary_school,mean_supermarket,mean_medical_clinic,mean_primary_school,95_supermarket,95_medical_clinic,95_primary_school,5_supermarket,5_medical_clinic,5_primary_school,isolated_medical_clinic,isolated_primary_school,isolated_supermarket,total_pop,white,indigenous,asian,polynesian,latino,african_american
0,7024050,10615.8,8815.9,9092.6,11407.693400000046,9389.5304000001,10067.46899999991,12967.4,12485.0,13077.7,10615.8,8815.9,9092.6,False,False,False,177,162,15,0,0,0,
1,7024059,10588.6,8788.7,9065.4,11380.464699999944,9362.321300000043,10040.254500000075,12940.2,12457.8,13050.400000000001,10588.6,8788.7,9065.4,False,False,False,162,147,21,3,6,0,
2,7024168,11825.1,10025.1,9556.7,12474.420099999963,10549.321799999894,10866.671299999956,13878.6,13387.179999999995,13908.4,11825.1,10025.1,9556.7,False,False,False,102,87,3,12,0,0,
3,7024172,10456.0,8656.1,8932.8,11247.86110000004,9229.719399999893,9907.65410000003,12807.6,12325.2,12917.8,10456.0,8656.1,8932.8,False,False,False,180,156,15,12,3,0,
4,7024174,11032.1,9232.2,9508.9,11823.9925999999,9805.830100000008,10483.768300000092,13383.7,12901.3,13494.0,11032.1,9232.2,9508.9,False,False,False,129,123,15,0,0,0,
5,7024175,9234.6,7434.7,7711.4,10026.490599999906,8008.328500000059,8686.256100000071,11586.2,11103.8,11696.5,9234.6,7434.7,7711.4,False,False,False,150,144,12,0,6,0,
6,7024176,10885.7,9085.8,9362.5,11677.590799999945,9659.428700000013,10337.36219999995,13237.3,12754.9,13347.6,10885.7,9085.8,9362.5,False,False,False,132,126,6,0,0,0,
7,7024177,8907.7,7107.8,7384.4,9699.550099999959,7681.393499999909,8359.300500000036,11259.2,10776.8,11369.5,8907.7,7107.8,7384.4,False,False,False,138,129,18,3,3,0,
8,7024178,10303.5,8503.6,8780.2,11095.347600000046,9077.19339999987,9755.099700000037,12655.0,12172.6,12765.3,10303.5,8503.6,8780.2,False,False,False,246,219,9,21,6,6,
9,7024179,10457.6,8657.7,8934.3,11249.45159999994,9231.298800000059,9909.202499999989,12809.1,12326.7,12919.4,10457.6,8657.7,8934.3,False,False,False,207,186,18,9,0,0,
10,7024180,9713.1,7913.2,8189.9,10504.955799999943,8486.817300000072,9164.749200000058,12064.7,11582.3,12174.9,9713.1,7913.2,8189.9,False,False,False,207,183,12,18,3,0,
11,7024181,10114.5,8314.6,8591.2,10906.351700000045,8888.198999999859,9566.103100000044,12466.0,11983.6,12576.3,10114.5,8314.6,8591.2,False,False,False,108,90,24,0,9,0,
12,7024182,9190.1,7390.2,7666.9,9981.976199999935,7963.826600000063,8641.755800000072,11541.7,11059.3,11652.0,9190.1,7390.2,7666.9,False,False,False,144,123,15,12,6,0,
13,7024183,10607.8,8807.9,9084.6,11399.665399999989,9381.521400000087,10059.454599999908,12959.4,12477.0,13069.599999999999,10607.8,8807.9,9084.6,False,False,False,159,144,9,12,0,0,
14,7024184,10157.4,8357.5,8634.2,10949.264700000072,8931.121299999979,9609.054500000038,12509.0,12026.6,12619.2,10157.4,8357.5,8634.2,False,False,False,135,123,24,0,0,0,
15,7024185,9842.6,8042.7,8319.4,10634.46079999994,8616.319400000073,9294.253600000071,12194.2,11711.8,12304.4,9842.6,8042.7,8319.4,False,False,False,147,132,30,0,3,0,
16,7024186,9855.5,8055.6,8332.3,10647.396400000012,8629.231199999927,9307.195999999965,12207.1,11724.7,12317.4,9855.5,8055.6,8332.3,False,False,False,174,165,21,0,0,0,
17,7024187,11170.5,9370.6,9647.3,11962.373300000057,9944.22619999989,10622.155800000059,13522.1,13039.7,13632.4,11170.5,9370.6,9647.3,False,False,False,153,132,30,3,6,0,
18,7024188,9533.8,7733.8,8010.5,10325.64369999999,8307.432299999935,8985.3985,11885.3,11402.9,11995.6,9533.8,7733.8,8010.5,False,False,False,147,132,24,0,3,0,
19,7024189,9196.8,7396.9,7673.6,9988.661799999994,7970.519800000075,8648.454499999947,11548.4,11066.0,11658.6,9196.8,7396.9,7673.6,False,False,False,102,93,6,3,0,6,
20,7024190,9535.5,7735.6,8012.2,10327.350500000042,8309.198799999867,8987.101700000065,11887.0,11404.6,11997.3,9535.5,7735.6,8012.2,False,False,False,183,171,30,12,0,3,
21,7024191,9477.2,7677.3,7954.0,10269.060799999957,8250.919399999944,8928.853599999959,11828.8,11346.400000000001,11939.0,9477.2,7677.3,7954.0,False,False,False,96,84,18,3,0,0,
22,7024192,9323.1,7523.2,7799.8,10114.950099999949,8096.79880000012,8774.700499999959,11674.6,11192.2,11784.9,9323.1,7523.2,7799.8,False,False,False,126,108,21,9,6,0,
23,7024193,9316.7,7516.8,7793.5,10108.56179999996,8090.419899999946,8768.354499999958,11668.3,11185.9,11778.5,9316.7,7516.8,7793.5,False,False,False,186,174,21,6,0,0,
