,id_orig,base_supermarket,base_medical_clinic,base_primary_school,mean_supermarket,mean_medical_clinic,mean_primary_school,95_supermarket,95_medical_clinic,95_primary_school,5_supermarket,5_medical_clinic,5_primary_school,isolated_medical_clinic,isolated_primary_school,isolated_supermarket,total_pop,white,indigenous,asian,polynesian,latino,african_american
0,7024050,10615.8,8815.9,9092.6,10615.800000000052,8815.900000000163,9092.599999999831,10615.8,8815.9,9092.6,10615.8,8815.9,9092.6,False,False,False,177,162,15,0,0,0,
1,7024059,10588.6,8788.7,9065.4,10588.5999999998,8788.700000000092,9065.400000000169,10588.6,8788.7,9065.4,10588.6,8788.7,9065.4,False,False,False,162,147,21,3,6,0,
2,7024168,11825.1,10025.1,9556.7,11825.099999999784,10025.099999999811,9556.700000000024,11825.1,10025.1,9556.7,11825.1,10025.1,9556.7,False,False,False,102,87,3,12,0,0,
3,7024172,10456.0,8656.1,8932.8,10456.0,8656.09999999984,8932.799999999921,10456.0,8656.1,8932.8,10456.0,8656.1,8932.8,False,False,False,180,156,15,12,3,0,
4,7024174,11032.1,9232.2,9508.9,11032.099999999795,9232.20000000005,9508.90000000018,11032.1,9232.2,9508.9,11032.1,9232.2,9508.9,False,False,False,129,123,15,0,0,0,
5,7024175,9234.6,7434.7,7711.4,9234.599999999828,7434.7000000001235,7711.400000000134,9234.6,7434.7,7711.4,9234.6,7434.7,7711.4,False,False,False,150,144,12,0,6,0,
6,7024176,10885.7,9085.8,9362.5,10885.699999999932,9085.799999999936,9362.5,10885.7,9085.8,9362.5,10885.7,9085.8,9362.5,False,False,False,132,126,6,0,0,0,
7,7024177,8907.7,7107.8,7384.4,8907.70000000008,7107.799999999879,7384.400000000124,8907.7,7107.8,7384.4,8907.7,7107.8,7384.4,False,False,False,138,129,18,3,3,0,
8,7024178,10303.5,8503.6,8780.2,10303.5,8503.599999999844,8780.200000000093,10303.5,8503.6,8780.2,10303.5,8503.6,8780.2,False,False,False,246,219,9,21,6,6,
9,7024179,10457.6,8657.7,8934.3,10457.599999999804,8657.700000000104,8934.299999999921,10457.6,8657.7,8934.3,10457.6,8657.7,8934.3,False,False,False,207,186,18,9,0,0,
10,7024180,9713.1,7913.2,8189.9,9713.099999999817,7913.200000000127,8189.900000000148,9713.1,7913.200000000001,8189.9,9713.1,7913.2,8189.9,False,False,False,207,183,12,18,3,0,
11,7024181,10114.5,8314.6,8591.2,10114.5,8314.599999999848,8591.20000000011,10114.5,8314.6,8591.2,10114.5,8314.6,8591.2,False,False,False,108,90,24,0,9,0,
12,7024182,9190.1,7390.2,7666.9,9190.09999999983,7390.2000000001235,7666.900000000132,9190.1,7390.2,7666.9,9190.1,7390.2,7666.9,False,False,False,144,123,15,12,6,0,
13,7024183,10607.8,8807.9,9084.6,10607.800000000052,8807.900000000163,9084.599999999831,10607.8,8807.9,9084.6,10607.8,8807.9,9084.6,False,False,False,159,144,9,12,0,0,
14,7024184,10157.4,8357.5,8634.2,10157.400000000192,8357.5,8634.200000000106,10157.4,8357.5,8634.2,10157.4,8357.5,8634.2,False,False,False,135,123,24,0,0,0,
15,7024185,9842.6,8042.7,8319.4,9842.599999999815,8042.70000000013,8319.400000000152,9842.6,8042.7,8319.4,9842.6,8042.7,8319.4,False,False,False,147,132,30,0,3,0,
16,7024186,9855.5,8055.6,8332.3,9855.5,8055.599999999856,8332.299999999868,9855.5,8055.6,8332.3,9855.5,8055.6,8332.3,False,False,False,174,165,21,0,0,0,
17,7024187,11170.5,9370.6,9647.3,11170.5,9370.599999999826,9647.299999999983,11170.5,9370.6,9647.3,11170.5,9370.6,9647.3,False,False,False,153,132,30,3,6,0,
18,7024188,9533.8,7733.8,8010.5,9533.799999999974,7733.799999999874,8010.5,9533.8,7733.8,8010.5,9533.8,7733.8,8010.5,False,False,False,147,132,24,0,3,0,
19,7024189,9196.8,7396.9,7673.6,9196.799999999947,7396.900000000124,7673.599999999867,9196.8,7396.9,7673.6,9196.8,7396.9,7673.6,False,False,False,102,93,6,3,0,6,
20,7024190,9535.5,7735.6,8012.2,9535.5,7735.599999999865,8012.200000000129,9535.5,7735.6,8012.2,9535.5,7735.6,8012.2,False,False,False,183,171,30,12,0,3,
21,7024191,9477.2,7677.3,7954.0,9477.200000000032,7677.299999999875,7954.0,9477.2,7677.3,7954.0,9477.2,7677.3,7954.0,False,False,False,96,84,18,3,0,0,
22,7024192,9323.1,7523.2,7799.8,9323.099999999826,7523.200000000124,7799.799999999873,9323.1,7523.2,7799.8,9323.1,7523.2,7799.8,False,False,False,126,108,21,9,6,0,
23,7024193,9316.7,7516.8,7793.5,9316.700000000044,7516.799999999876,7793.5,9316.7,7516.8,7793.5,9316.7,7516.8,7793.5,False,False,False,186,174,21,6,0,0,
24,7024194,9045.2,7245.3,7522.0,9045.200000000066,7245.299999999877,7522.0,9045.2,7245.3,7522.0,9045.2,7245.3,7522.0,False,False,False,99,90,24,6,3,3,
25,7024195,9775.4,7975.5,8252.2,9775.400000000185,7975.5,8252.20000000013,9775.4,7975.5,8252.2,9775.4,7975.5,8252.2,False,False,False,111,105,12,0,0,0,
26,7024196,9690.7,7890.8,8167.5,9690.700000000013,7890.799999999873,8167.5,9690.7,7890.799999999999,8167.5,9690.7,7890.8,8167.5,False,False,False,165,150,18,9,9,0,
27,7024197,9251.1,7451.2,7727.9,9251.099999999828,7451.200000000124,7727.900000000135,9251.1,7451.2,7727.9,9251.1,7451.2,7727.9,False,False,False,120,117,9,0,0,0,
28,7024198,9988.6,8188.7,8465.4,9988.599999999811,8188.70000000013,8465.400000000154,9988.6,8188.7,8465.4,9988.6,8188.7,8465.4,False,False,False,180,165,9,6,6,0,
29,7024199,9077.9,7278.0,7554.7,9077.900000000169,7278.0,7554.700000000125,9077.9,7278.0,7554.7,9077.9,7278.0,7554.7,False,False,False,111,105,3,6,0,0,
30,7024200,9457.7,7657.8,7934.4,9457.700000000032,7657.799999999875,7934.400000000141,9457.7,7657.8,7934.4,9457.7,7657.8,7934.4,False,False,False,207,186,18,9,6,6,
31,7024204,12112.3,10312.4,10589.1,12112.300000000138,10312.400000000194,10589.0999999998,12112.3,10312.4,10589.1,12112.3,10312.4,10589.099999999999,False,False,False,204,192,27,3,0,0,
32,7024205,11082.7,9282.7,9559.4,11082.699999999919,9282.700000000046,9559.400000000182,11082.7,9282.7,9559.4,11082.7,9282.7,9559.4,False,False,False,105,84,24,3,3,0,
33,7024206,12151.7,10351.8,10628.5,12151.69999999986,10351.800000000036,10628.5,12151.7,10351.8,10628.5,12151.7,10351.8,10628.5,False,False,False,201,183,21,3,6,0,
34,7024207,10518.0,8718.1,8994.8,10518.0,8718.099999999838,8994.799999999927,10518.0,8718.1,8994.8,10518.0,8718.1,8994.8,False,False,False,225,195,45,12,6,0,
35,7024208,11276.0,9476.1,9752.8,11276.0,9476.09999999982,9752.79999999999,11276.0,9476.1,9752.8,11276.0,9476.1,9752.8,False,False,False,156,141,21,3,15,0,
36,7024209,11340.5,9540.6,9817.3,11340.5,9540.59999999982,9817.299999999996,11340.5,9540.6,9817.3,11340.5,9540.6,9817.3,False,False,False,207,174,33,3,18,0,
37,7024210,11412.6,9612.7,9889.4,11412.59999999979,9612.700000000019,9889.400000000187,11412.6,9612.7,9889.4,11412.6,9612.7,9889.4,False,False,False,150,129,12,3,15,0,
38,7024211,11394.3,9594.4,9871.1,11394.300000000101,9594.400000000182,9871.099999999813,11394.3,9594.400000000001,9871.1,11394.3,9594.4,9871.1,False,False,False,126,114,12,15,0,3,
39,7024212,9961.4,8161.5,8438.2,9961.400000000189,8161.5,8438.200000000126,9961.4,8161.5,8438.2,9961.4,8161.5,8438.2,False,False,False,165,141,33,9,6,0,
40,7024213,10252.6,8452.7,8729.4,10252.599999999808,8452.700000000124,8729.400000000162,10252.6,8452.7,8729.4,10252.6,8452.7,8729.4,False,False,False,195,183,27,9,3,0,
41,7024214,9868.8,8068.9,8345.6,9868.8,8068.900000000145,8345.599999999848,9868.8,8068.9,8345.6,9868.8,8068.9,8345.6,False,False,False,162,150,21,0,3,0,
42,7024215,10078.6,8278.7,8555.4,10078.59999999981,8278.70000000013,8555.400000000156,10078.6,8278.7,8555.4,10078.6,8278.7,8555.4,False,False,False,102,90,15,9,0,0,
43,7024216,10130.5,8330.6,8607.2,10130.5,8330.599999999848,8607.200000000108,10130.5,8330.6,8607.2,10130.5,8330.6,8607.2,False,False,False,207,177,27,12,0,0,
44,7024217,9472.8,7672.8,7949.5,9472.799999999968,7672.799999999875,7949.5,9472.8,7672.8,7949.5,9472.8,7672.8,7949.5,False,False,False,18,12,3,3,0,0,
45,7024218,9299.8,7499.9,7776.6,9299.799999999954,7499.900000000128,7776.599999999864,9299.8,7499.9,7776.6,9299.8,7499.9,7776.6,False,False,False,123,114,12,3,0,0,
46,7024219,9742.7,7942.7,8219.4,9742.70000000001,7942.700000000129,8219.400000000149,9742.7,7942.7,8219.4,9742.7,7942.7,8219.4,False,False,False,99,84,12,9,0,0,
47,7024220,9302.7,7502.8,7779.5,9302.700000000044,7502.799999999876,7779.5,9302.7,7502.799999999999,7779.5,9302.7,7502.8,7779.5,False,False,False,171,150,21,3,6,3,
48,7024221,9451.1,7651.2,7927.9,9451.099999999824,7651.200000000125,7927.900000000141,9451.1,7651.2,7927.9,9451.1,7651.2,7927.9,False,False,False,99,90,24,9,0,0,
49,7024222,9976.6,8176.7,8453.4,9976.599999999811,8176.70000000013,8453.400000000154,9976.6,8176.7,8453.4,9976.6,8176.7,8453.4,False,False,False,159,144,12,3,6,0,
50,7024223,8957.8,7157.9,7434.6,8957.799999999923,7157.900000000116,7434.599999999875,8957.8,7157.9,7434.6,8957.8,7157.9,7434.6,False,False,False,186,177,12,0,0,0,
51,7024224,8718.9,6919.0,7195.7,8718.900000000162,6919.0,7195.700000000122,8718.9,6919.0,7195.7,8718.9,6919.0,7195.7,False,False,False,252,222,39,9,15,0,
52,7024225,9089.2,7289.3,7566.0,9089.200000000063,7289.299999999877,7566.0,9089.2,7289.3,7566.0,9089.2,7289.3,7566.0,False,False,False,153,135,18,12,0,0,
53,7024226,8122.4,6322.4,6599.1,8122.400000000146,6322.400000000082,6599.099999999906,8122.4,6322.4,6599.1,8122.4,6322.4,6599.1,False,False,False,240,204,12,3,21,0,
54,7024227,9280.3,7480.4,7757.1,9280.299999999954,7480.400000000127,7757.099999999864,9280.3,7480.4,7757.1,9280.3,7480.4,7757.1,False,False,False,159,141,9,15,0,0,
55,7024228,8967.8,7167.9,7444.6,8967.799999999925,7167.900000000116,7444.599999999874,8967.8,7167.9,7444.6,8967.8,7167.9,7444.6,False,False,False,114,114,9,0,6,0,
56,7024229,8827.4,7027.5,7304.2,8827.400000000163,7027.5,7304.200000000123,8827.4,7027.5,7304.2,8827.4,7027.5,7304.2,False,False,False,177,159,21,0,6,0,
57,7024230,8249.8,6449.9,6726.6,8249.79999999987,6449.900000000088,6726.5999999999,8249.8,6449.9,6726.6,8249.8,6449.9,6726.6,False,False,False,201,189,18,3,6,3,
58,7024243,12148.5,10348.6,10625.3,12148.5,10348.599999999806,10625.300000000054,12148.5,10348.6,10625.3,12148.5,10348.6,10625.3,False,False,False,123,108,15,3,0,3,
59,7024244,11718.3,9918.4,10195.1,11718.300000000118,9918.400000000187,10195.099999999808,11718.3,9918.4,10195.1,11718.3,9918.4,10195.1,False,False,False,162,138,21,6,6,3,
