,dest_type,name,lon,lat
0,primary_school,Adams,-122.3915046824095,47.67362653135537
1,primary_school,Alki,-122.407812274933,47.57713611718997
2,primary_school,Arbor Heights,-122.3775729356053,47.50969475412371
3,primary_school,B.F. Day,-122.3491088278421,47.65462984300223
4,primary_school,Bagley,-122.3422899570921,47.68635144656614
5,primary_school,Bailey Gatzert,-122.3154698310705,47.6011949152761
6,primary_school,Beacon Hill Int'l,-122.3150900034158,47.58546358751057
7,primary_school,Broadview-Thomson K-8,-122.3531337432897,47.72462548754458
8,primary_school,Bryant,-122.2921906210161,47.67183631868547
9,primary_school,Cascade PPP,-122.3586042787203,47.64626944873296
10,primary_school,Cascadia,-122.3372762296961,47.69501835341688
11,primary_school,Catharine Blaine K-8,-122.3992475176105,47.64225174611723
12,primary_school,Cedar Park,-122.2874518077512,47.72605216190056
13,primary_school,Coe,-122.3655842009281,47.64051037199056
14,primary_school,Concord Int'l,-122.324675711505,47.52360528864396
15,primary_school,Dearborn Park Int'l,-122.2962721049521,47.55225674141378
16,primary_school,Decatur,-122.2826468051152,47.6850198277296
17,primary_school,Dunlap,-122.2746407898431,47.52498357039677
18,primary_school,Emerson,-122.2586212865115,47.5148148456317
19,primary_school,Fairmount Park,-122.3801763444313,47.55256759284908
20,primary_school,Gatewood,-122.3884833320842,47.54024527882881
21,primary_school,Genesee Hill,-122.396873646399,47.56548696128172
22,primary_school,Graham Hill,-122.2685193801186,47.54575168959144
23,primary_school,Green Lake,-122.3284829483588,47.67629598839996
24,primary_school,Greenwood,-122.359945382909,47.68724827632487
25,primary_school,Hawthorne,-122.2833713476739,47.56589956397333
26,primary_school,Hay,-122.3517016769238,47.6328928677401
27,primary_school,Hazel Wolf K-8,-122.3146434224963,47.71342460729635
28,primary_school,Highland Park,-122.3482624101937,47.52517188371596
29,primary_school,John Muir,-122.2905649831112,47.57323572789879
30,primary_school,John Rogers,-122.2846188200822,47.70742080726485
31,primary_school,John Stanford Int'l,-122.3240369648012,47.65752263534001
32,primary_school,Kimball,-122.3029996074163,47.57403963666545
33,primary_school,Lafayette,-122.3872196504113,47.57948979087561
34,primary_school,Laurelhurst,-122.2779481758955,47.66219240884647
35,primary_school,Lawton,-122.3904596053012,47.65670679228769
36,primary_school,Leschi,-122.291798739325,47.60209757074287
37,primary_school,Licton Springs K-8,-122.3395171450506,47.69544490576691
38,primary_school,Louisa Boren STEM,-122.3621260573986,47.54861392404532
39,primary_school,Lowell,-122.3183640199921,47.6244178051113
40,primary_school,Loyal Heights,-122.3889506777467,47.68599695775393
41,primary_school,Madrona,-122.2908540165902,47.61223115387273
42,primary_school,Maple,-122.3188840047185,47.55812009707002
43,primary_school,Martin Luther King Jr,-122.2768968904267,47.54173758703776
44,primary_school,McDonald Int'l,-122.3265804778558,47.66826998670219
45,primary_school,McGilvra,-122.2848168993543,47.63407212721004
46,primary_school,Montlake,-122.3042693058001,47.64062701568267
47,primary_school,North Beach,-122.3870205765174,47.69496889552394
48,primary_school,Northgate,-122.3295701269078,47.71486154110646
49,primary_school,Olympic Hills,-122.3067405363055,47.72368053775879
50,primary_school,Olympic View,-122.3212429561707,47.69822609842909
51,primary_school,Orca K-8,-122.2759415457626,47.55477310563236
52,primary_school,Pathfinder K-8,-122.3579822358432,47.56359917319551
53,primary_school,Queen Anne (interim at John Marshall),-122.3223004391525,47.67724252087919
54,primary_school,Rainier View,-122.2631572073222,47.49885770281576
55,primary_school,Roxhill Elementary at E.C. Hughes,-122.3749125352368,47.53283205114301
56,primary_school,Sacajawea,-122.3074578110253,47.69844291920835
57,primary_school,Salmon Bay K-8,-122.3804971578027,47.67629179577137
58,primary_school,Sand Point,-122.2629183234783,47.67364592061927
59,primary_school,Sanislo,-122.3586432003833,47.53960277997435
60,primary_school,South Shore K-8,-122.2719942571035,47.52373732907851
61,primary_school,Stevens,-122.3078499888655,47.63145060934404
62,primary_school,TOPS K-8,-122.3241635713109,47.64228123782986
63,primary_school,Thornton Creek,-122.2842852880766,47.68564983071776
64,primary_school,Thurgood Marshall,-122.2998314474452,47.59095292940108
65,primary_school,Van Asselt,-122.2890206390416,47.52914601206262
66,primary_school,View Ridge,-122.2753172666332,47.68068147886006
67,primary_school,Viewlands,-122.3611145229447,47.70596719645231
68,primary_school,Wedgwood,-122.2970389083844,47.69053242068215
69,primary_school,West Seattle Elementary,-122.3734778025088,47.54175625857159
70,primary_school,West Woodland,-122.3622318677037,47.67059368704286
71,primary_school,Whittier,-122.3730604605421,47.68358420698837
72,primary_school,Wing Luke,-122.2958981578957,47.53808520810527
73,supermarket,7-Eleven,-122.3358799035521,47.61604598351092
74,supermarket,Albertsons,-122.3430107053015,47.72370361305823
75,supermarket,Albertsons,-122.3979089625472,47.64246664252826
76,supermarket,Amazon Fresh,-122.3353222120999,47.58001098552709
77,supermarket,AmazonFresh,-122.3757713343439,47.66614320817889
78,supermarket,Asian Food Center,-122.3438070761656,47.72479367864317
79,supermarket,Ba Mien Seafood Market,-122.2831185306966,47.5391607816887
80,supermarket,Ballard Market,-122.3741590444339,47.66984854683853
81,supermarket,Beacon Hill Market,-122.3132276156528,47.58086738226438
82,supermarket,Bert's Red Apple Market,-122.2799618375625,47.63481190919143
83,supermarket,Buena Discount Food Market,-122.3486194341186,47.48047349217352
84,supermarket,Burien Fred Meyer,-122.3316123228958,47.47525648563082
85,supermarket,Cash & Carry,-122.3728422131448,47.66276946612835
86,supermarket,Cash & Carry,-122.3279129113897,47.58669158379386
87,supermarket,Cash & Carry,-122.3417622762837,47.72472277856961
88,supermarket,Castillos,-122.3546933116179,47.50917435167865
89,supermarket,Central Co-op,-122.3110425645059,47.61547371701746
90,supermarket,Central Market,-122.3498448708775,47.74266267863201
91,supermarket,City Foods,-122.3459163013522,47.61792278418819
92,supermarket,City Market,-122.3264260318315,47.61704302030444
93,supermarket,Dan's Belltown Grocery,-122.3444859721382,47.61416359649205
94,supermarket,District Market,-122.313527697794,47.65579697838194
95,supermarket,Dominic's Red Apple Market,-122.314764207215,47.51572053642174
96,supermarket,Fred Meyer,-122.2917616901394,47.72400288918845
97,supermarket,Grocery Outlet,-122.2484152420584,47.4963328043351
98,supermarket,Grocery Outlet,-122.2951544841958,47.72168677298747
99,supermarket,Grocery Outlet,-122.2954916069481,47.61233251307254
100,supermarket,Grocery Outlet,-122.3285902111146,47.58787638394426
101,supermarket,Grocery Outlet,-122.3758926509107,47.69291523900015
102,supermarket,Grocery Outlet,-122.3467662750796,47.72487047836972
103,supermarket,Grocery Plus,-122.3548575810978,47.51571342177358
104,supermarket,H Mart,-122.3130208967816,47.65889407871472
105,supermarket,HT Oaktree Market,-122.3424639622433,47.70264442446608
106,supermarket,Hao Hau Market,-122.3167995102566,47.5985998819775
107,supermarket,Hilltop Red Apple Grocery Store,-122.312896373366,47.57897594258957
108,supermarket,Hung Long Asian Market,-122.3534516247502,47.51425869094527
109,supermarket,IGA Kress Supermarket,-122.3376699046777,47.60936008402385
110,supermarket,Ken's Market,-122.3645370681428,47.63979274951439
111,supermarket,Ken's Market,-122.3555046843846,47.68158888232126
112,supermarket,La Canasta Mexican Market,-122.3479363333658,47.48096849151737
113,supermarket,Lam's Seafood Market,-122.3163207105011,47.59808078247547
114,supermarket,Leschi Market,-122.2856527850352,47.60187176218117
115,supermarket,Lucky An Dong,-122.317763210203,47.59823968203888
116,supermarket,Market Guadalupe,-122.3488602321025,47.48783599139052
117,supermarket,Marketime,-122.3496265632363,47.66049086581736
118,supermarket,Maruta Market,-122.3189287641115,47.54791083432085
119,supermarket,Mekong Rainier Supermarket,-122.2933982207532,47.57282368135863
120,supermarket,Metropolitan Deli + Cafe,-122.3372368031559,47.61596148336479
121,supermarket,Metropolitan Market,-122.2836229914725,47.66822246918643
122,supermarket,Metropolitan Market,-122.3550370983373,47.62474388534502
123,supermarket,Metropolitan Market,-122.384791527154,47.58198069768225
124,supermarket,Metropolitan Market,-122.4004371988472,47.65527453760614
125,supermarket,New Seasons Market,-122.3703385783611,47.66256330977473
126,supermarket,PCC,-122.3870634023532,47.57773980475108
127,supermarket,PCC,-122.3440792865861,47.68353208028287
128,supermarket,PCC,-122.3235025899977,47.68036647897326
129,supermarket,PCC,-122.2868387248066,47.55893128085968
130,supermarket,PCC,-122.3508731932032,47.64994768338424
131,supermarket,Phnom Khiev Supermarket,-122.3553229247694,47.51426469052701
132,supermarket,QFC,-122.290122918961,47.68977031402764
133,supermarket,QFC,-122.3359311305134,47.66183357993626
134,supermarket,QFC,-122.3210679059762,47.61387348163952
135,supermarket,QFC,-122.3214589039067,47.62242168117304
136,supermarket,QFC,-122.2967454987278,47.66254357686005
137,supermarket,QFC,-122.3472604999874,47.6246864843657
138,supermarket,QFC,-122.3636496652726,47.70192809973735
139,supermarket,QFC,-122.310483179473,47.73334127462066
140,supermarket,QFC,-122.3872595823982,47.67065528597729
141,supermarket,QFC,-122.3122957786285,47.62272167420144
142,supermarket,QFC,-122.377844140444,47.64946720558237
143,supermarket,QFC,-122.365916272121,47.52204657530253
144,supermarket,QFC,-122.385030508917,47.56127889165135
145,supermarket,QFC,-122.2998295183564,47.57921358160017
146,supermarket,Quality Food Center,-122.3172171385895,47.70938473395212
147,supermarket,Restaurant Depot,-122.337776272684,47.56885457624247
148,supermarket,Safeway,-122.3435797902271,47.74096190985453
149,supermarket,Safeway,-122.3119565197691,47.71800427518119
150,supermarket,Safeway,-122.3131234817743,47.62046195420103
151,supermarket,Safeway,-122.3140641952004,47.66438677876945
152,supermarket,Safeway,-122.3742486703333,47.66827967062761
153,supermarket,Safeway,-122.3358065123547,47.4890393106771
154,supermarket,Safeway,-122.2893434523379,47.6825133627752
155,supermarket,Safeway 0219,-122.283024822658,47.53746649050957
156,supermarket,Safeway 0368,-122.3560807484009,47.63769342077403
157,supermarket,Safeway 0488,-122.2950938015361,47.66208384507147
158,supermarket,Safeway 1062,-122.3849063381453,47.55959759027508
159,supermarket,Safeway 1143,-122.376097416371,47.69019994129138
160,supermarket,Safeway 1508,-122.2879173024758,47.56926453390916
161,supermarket,Safeway 1550,-122.3169476598053,47.6819415067351
162,supermarket,Safeway 1885,-122.3576302716527,47.62393228529712
163,supermarket,Safeway 1923,-122.3667031458952,47.51666004760648
164,supermarket,Safeway 1965,-122.2680279368976,47.52100662910681
165,supermarket,Safeway 1993,-122.3034990266047,47.61801079977613
166,supermarket,Safeway 2932,-122.3860256437315,47.57983584182978
167,supermarket,Safeway 3091,-122.3138761056426,47.66430089439717
168,supermarket,Saveway Grocery,-122.3330902078468,47.6013185836288
169,supermarket,Scandinavian Specialties,-122.3770369822145,47.67824228449796
170,supermarket,Seattle Organics Kratom Shop,-122.3447846746395,47.73019167828748
171,supermarket,Seattle Supermarket,-122.3048470216647,47.55932648268902
172,supermarket,Super Saver Foods,-122.3542297015546,47.50804134890181
173,supermarket,Take 5 Urban Market,-122.3662001835802,47.67945838338598
174,supermarket,Thriftway,-122.3861952139373,47.54447177140955
175,supermarket,Trader Joe's,-122.38103312632,47.56196431037414
176,supermarket,Trader Joe's,-122.3742116861983,47.66256008523168
177,supermarket,Trader Joe's,-122.310020507571,47.61579298071155
178,supermarket,Trader Joe's,-122.3566909952627,47.63646958479394
179,supermarket,Trader Joe's,-122.3176290950482,47.66264167899628
180,supermarket,Tsue Chong Company Inc,-122.3221074324275,47.59776435666456
181,supermarket,Uwajimaya,-122.3270282091324,47.59683738375177
182,supermarket,Viet Wah,-122.2847075280163,47.54736468131889
183,supermarket,Viet Wah Supermarket,-122.3184570097825,47.59944168262363
184,supermarket,View Ridge PCC,-122.2843404973612,47.6761232747282
185,supermarket,Whole Foods Market,-122.3161898928144,47.67512187778622
186,supermarket,Whole Foods Market,-122.338161402634,47.6183105835738
187,supermarket,Whole Foods Market,-122.3210470072429,47.61133718225985
188,supermarket,Whole Foods Market,-122.3768932921998,47.63697468671631
189,medical_clinic,Ballard Speech & Hearing Center,-122.3797109838605,47.66828608539041
190,medical_clinic,Bastyr Center for Natural Health,-122.3421878447201,47.65231927910155
191,medical_clinic,Brotman Baty Surgery Pavilion,-122.3052680865547,47.64854175024513
192,medical_clinic,Burien Medical Clinic,-122.3503543311474,47.4904007915084
193,medical_clinic,Care Clinic,-122.3846789088913,47.56068039156457
194,medical_clinic,CareClinic,-122.2973140981932,47.66366927657809
195,medical_clinic,Central Area Health Care Center,-122.3045132920192,47.60128928864511
196,medical_clinic,CityMD,-122.3817146096157,47.55963459129472
197,medical_clinic,CityMD,-122.3210635047773,47.6204084814553
198,medical_clinic,Community Based Outpatient Clinic,-122.2947550852683,47.718970673401
199,medical_clinic,Country Doctor,-122.3069660063178,47.62341837975056
200,medical_clinic,DaVita Dialysis,-122.366056820545,47.52436011343477
201,medical_clinic,Downtown Seattle Medical Center,-122.3340443051354,47.61023638341323
202,medical_clinic,Dr. Kim's Clinic,-122.3440423724271,47.73932587776476
203,medical_clinic,Evergreen Health Primary Care,-122.2498496824205,47.76061446628007
204,medical_clinic,Evergreen Health Urgent Care,-122.2500267823822,47.76065496629747
205,medical_clinic,FootWorks Physical Therapy,-122.3331041077635,47.59990408385269
206,medical_clinic,Franciscan Medical Clinic,-122.3804858923911,47.56139650806766
207,medical_clinic,Genesis HealthCare - Ballard Center,-122.3671178136013,47.69846562043252
208,medical_clinic,Hall Health Center,-122.3040784439157,47.65615041071538
209,medical_clinic,IBS Treatment Center,-122.3173041836124,47.71082317630765
210,medical_clinic,ICHS,-122.3220376104436,47.59612808283779
211,medical_clinic,ICHS Medical and Dental Clinic,-122.3460605134797,47.75016032142339
212,medical_clinic,ImmediateCare,-122.3544703983033,47.62505668487739
213,medical_clinic,ImmediateClinic,-122.3752121782684,47.6944680835312
214,medical_clinic,ImmediateClinic Urgent Care,-122.3205618062699,47.61452368170931
215,medical_clinic,Indigo Urgent Care,-122.2888309224785,47.56811278067511
216,medical_clinic,Indigo Urgent Care,-122.3278395938177,47.66148108004596
217,medical_clinic,Iora Primary Care,-122.3440383723681,47.7395720777515
218,medical_clinic,Kaiser Permanente Northgate Medical Center,-122.3236815410318,47.70070210953786
219,medical_clinic,Kaiser Permanente Rainier Medical Center,-122.2796810442688,47.55421519240735
220,medical_clinic,Karalis Johnson Retina Center,-122.3420450006751,47.62347588359654
221,medical_clinic,Kinetic Sports Rehab,-122.3239553898993,47.68033807863239
222,medical_clinic,Lake Washington Vascular Care,-122.3254727900145,47.67884927887705
223,medical_clinic,Lakeview Medical Dental,-122.2925351154201,47.66176220015322
224,medical_clinic,MTI Physical Therapy,-122.3164734088567,47.60647358168388
225,medical_clinic,Maia Midwifery & Fertility,-122.2847454256315,47.55766478077946
226,medical_clinic,Meridian Center For Health,-122.33472168199,47.70595905647777
227,medical_clinic,Mind Your Body Clinic,-122.3261155901031,47.67805327898935
228,medical_clinic,Neighborcare Health,-122.2691755812056,47.51963106708853
229,medical_clinic,Neighborcare Health at High Point,-122.3758986493867,47.54775102928181
230,medical_clinic,Neurologic Clinic,-122.3732910845443,47.66971798461006
231,medical_clinic,Northbound Treatment Services,-122.3590535979082,47.62364298545441
232,medical_clinic,Northwest Kidney Center,-122.2919556319417,47.73459357227642
233,medical_clinic,Northwest Kidney Centers,-122.2783204418786,47.51483993734217
234,medical_clinic,Northwest Outpatient Medical Center,-122.3325336036744,47.70457933130907
235,medical_clinic,Nyer House,-122.3812492733878,47.66922491651054
236,medical_clinic,Pacific Medical Center Northgate,-122.3228000552839,47.70438657024842
237,medical_clinic,Pacific Medical Centers Beacon Hill,-122.3159703122149,47.59279738234785
